name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Abacavir,Antirretroviral,Adultos: 600 mg día o 300 mg 2 veces/día; Niños ≥3m: 8 mg/kg 2 veces/día,Una o dos veces al día,600 mg/día,Oral,Infección por VIH-1,"Reacción hipersensibilidad, náuseas, vómitos, cefalea, fatiga, rash","Hipersensibilidad, portadores alelo HLA-B*5701, I.H. moderada/grave"
Abaloparatida,Análogo Hormona Paratiroidea,80 mcg,SC una vez al día,80 mcg/día,Subcutáneo,Osteoporosis postmenopáusica alto riesgo fractura,"Hipercalcemia, hipercalciuria, mareo, cefalea, palpitaciones, náuseas, fatiga, riesgo osteosarcoma","Hipersensibilidad, hipercalcemia preexistente, enf ósea metabólica distinta osteoporosis, riesgo basal aumentado osteosarcoma"
Abemaciclib,Inhibidor CDK4/6,150 mg,Dos veces al día,400 mg/día,Oral,Cáncer mama avanzado/metastásico HR+/HER2-,"Diarrea, neutropenia, fatiga, náuseas, anemia, dolor abdominal, infecciones, tromboembolismo venoso, hepatotoxicidad",Hipersensibilidad
Abiraterona,Antiandrogénico,1000 mg,Una vez al día,1000 mg/día,Oral,Cáncer próstata (metastásico),"Fatiga, hipertensión, hipokalemia, edema periférico, sofocos, diarrea, elevación transaminasas, insuficiencia suprarrenal, cardiotoxicidad","Hipersensibilidad, I.H. grave, embarazo"
Acamprosato,Inhibidor NMDA,666 mg,Tres veces al día,1998 mg/día,Oral,Mantenimiento abstinencia en dependencia alcohólica,"Diarrea, náuseas, vómitos, dolor abdominal, prurito, rash, disminución/aumento li2 veces/díao","Hipersensibilidad, I.R. grave, lactancia"
Acebutolol,Beta bloqueador,200-400 mg,Una o dos veces al día,1200 mg/día,Oral,"Hipertensión arterial, Arritmias ventriculares","Fatiga, mareo, bradicardia, hipotensión, disnea, trastornos GI, depresión","Hipersensibilidad, shock cardiogénico, IC descompensada, bloqueo AV 2º-3º grado, bradicardia sinusal severa, asma grave"
Aceite de Eucalipto,Expectorante,0.05-0.2 mL,Según necesidad,Sin máximo fijo,Inhalatoria,Tos,Irritación,Hipersensibilidad
Acetazolamida,Inhibidor Anhidrasa Carbónica,Glaucoma: 250 mg - 1 g/día; Epilepsia: 8-30 mg/kg/día; Edema: 250-375 mg QD; Mal altura: 125-250 mg 2 veces/día,1-4 veces al día,1000 mg/día,"Oral, IV","Glaucoma, Edema, Epilepsia, Mal de montaña, Alcalosis metabólica","Parestesias, fatiga, malestar GI, acidosis metabólica, poliuria, cálculos renales, miopía transitoria, reacciones alérgicas","Hipersensibilidad a sulfonamidas, I.R./I.H. severa, hiponatremia/hipokalemia marcada, acidosis hiperclorémica, insuficiencia suprarrenal"
Aciclovir,Antiviral,Oral: 200-400 mg; IV: 5-10 mg/kg,Oral: 4-5 veces/día; IV: Cada 8 horas,Oral: 800 mg/dosis; 3.2 g/día; IV: 20 mg/kg/dosis (neonatos),"Oral, IV","Infecciones por herpes virus (simple, zoster)","diarrea, cefalea, falla renal (IV), neurotoxicidad","Insuficiencia renal (ajustar dosis), hipersensibilidad"
Ácido Acetohidroxámico,Inhibidor Ureasa,250 mg,3-4 veces al día,1500 mg/día,Oral,Prevención cálculos estruvita infecciones ITU recurrentes,"Cefalea, molestias GI, anemia hemolítica, flebitis, rash, temblor","Hipersensibilidad, I.R. severa, embarazo"
Ácido Aminocaproico,Hemostático,Carga: 4-5 g; Mantenimiento: 1-1.25 g/h,Carga inicial seguida de dosis horaria o cada 4-6h,30 g/día,"IV, Oral",Hemorragia por hiperfibrinolisis sistémica o local,"Náuseas, vómitos, diarrea, mareo, hipotensión, mialgia, rabdomiólisis, trombosis","Hipersensibilidad, coagulación intravascular diseminada activa, hematuria de vías urinarias altas"
Ácido Aminolevulínico,Fotosensibilizante,Aplicar solución 20% o gel,Aplicación única previa a terapia fotodinámica,Solución 20%,Tópico,Queratosis actínica no hiperqueratósica de cara/cuero cabelludo; Visualización tumores glioma,"Fotosensibilidad cutánea severa, sensación quemazón/escozor, eritema, edema, dolor, costras","Hipersensibilidad, porfiria"
Ácido Azelaico,Antibacteriano,Gel/Crema/Espuma 15-20%,Dos veces al día,20%,Tópico,"Acné vulgar, Rosácea pápulo-pustulosa","Ardor/picazón/escozor local, eritema, sequedad, descamación",Hipersensibilidad
Ácido Bempedoico,Inhibidor ATP-Citrato Liasa,180 mg,Una vez al día,180 mg/día,Oral,Hipercolesterolemia,"Hiperuricemia, dolor extremidades, anemia, aumento enzimas hepáticas, riesgo rotura tendinosa","Hipersensibilidad, embarazo, lactancia, uso concomitante simvastatina >40mg"
Ácido Deoxicólico,Agente Citolítico / Lipolítico,"Inyectar 0.2 mL por punto, espaciados 1 cm dentro del área de grasa submentoniana; máx 10 mL (50 inyecciones) por sesión","Repetir sesiones cada mes o más (mínimo 4 semanas), hasta 6 sesiones máximo","10 mL (20 mg) por sesión de tratamiento Subcutánea (en tejido graso submentoniano)""",Mejora de la apariencia de la convexidad moderada a severa asociada con la grasa submentoniana en adultos,"Edema/hinchazón, hematoma, dolor, entumecimiento, eritema, induración en sitio de; (Riesgos: Lesión del nervio marginal mandibular - asimetría sonrisa, Disfagia, Necrosis cutánea)","Presencia de infección en el área de tratamiento, hipersensibilidad",
Ácido Desoxicólico,Agente Lipolítico,Hasta 10 ml por sesión según área,"Inyecciones múltiples 0.2 ml separadas 1 cm, cada 4-6 semanas",10 ml/sesión,"Subcutánea""",Reducción grasa submentoniana moderada/severa,"Edema/hinchazón, hematoma, dolor, entumecimiento, eritema, induración sitio; lesión nervio marginal mandibular; disfagia","Hipersensibilidad, infección sitio"
Ácido Etacrínico,Diurético,"Oral: Inicial 50-100 mg, Mant: 50-200 mg; IV: 50 mg o 0.5-1 mg/kg",Oral: QD o 2 veces/día; IV: Repetir si necesario,200 mg/día,"Oral, IV",Edema asociado a IC/enf. hepática/renal; Edema pulmonar agudo; Ascitis,"Desequilibrio electrolítico severo, hipokalemia, hiponatremia, alcalosis metabólica, ototoxicidad, hiperuricemia, hipotensión","Hipersensibilidad, anuria, desequilibrio electrolítico severo, coma hepático"
Ácido Etacrínico,Diurético,50 mg,Una vez al día,200 mg/día,Oral,Edema,"Deshidratación, pérdida de audición",Anuria
Ácido Fólico,Vitamina B9,Profilaxis DTN: 0.4-1 mg; Tto Deficiencia: 1-5 mg; Anemia Megaloblástica: 5-15 mg,1 vez/día,15 mg/día,Oral IV IM,"Profilaxis defectos tubo neural, Tratamiento deficiencia folato, Anemia megaloblástica","Generalmente bien tolerado, reacciones alérgicas, malestar GI leve","Hipersensibilidad, anemia perniciosa no tratada"
Ácido Fólico Comprimido,Vitamina,1 mg,Una vez al día,5 mg/día,Oral,Deficiencia de folato,Náuseas,Hipersensibilidad
Acitretina,Retinoide,Inicial: 25-30 mg; Mantenimiento: 25-50 mg,Una vez al día,75 mg/día,Oral,"Psoriasis severa, Trastornos graves queratinización","Queilitis, sequedad piel/mucosas, alopecia, prurito, fragilidad cutánea, fotosensibilidad, hiperlipidemia, elevación transaminasas, dolor musculoesquelético, teratogenicidad","Hipersensibilidad a retinoides, embarazo, lactancia, I.H./I.R. grave, hiperlipidemia severa, uso concomitante tetraciclinas/metotrexato/vitamina A"
Acitretina Cápsula,Retinoide,Inicial: 25-30 mg; Mantenimiento: 25-50 mg,Una vez al día,75 mg/día,Oral,"Psoriasis severa, Trastornos graves queratinización","Queilitis, sequedad piel/mucosas, alopecia, prurito, fotosensibilidad, hiperlipidemia, elevación transaminasas, teratogenicidad","Hipersensibilidad, embarazo, lactancia, I.H./I.R. grave, hiperlipidemia severa, uso concomitante tetraciclinas/metotrexato/vitamina A"
Acrivastina,Antihistamínico,8 mg,Tres veces al día,24 mg/día,Oral,"Rinitis alérgica estacional, Urticaria crónica idiopática","Somnolencia, boca seca","Hipersensibilidad, I.R. significativa"
Adalimumab,Biológico,"AR: 40 mg; Inducción Crohn: 160 mg día 1, 80 mg día 15; Inducción Psoriasis: 80 mg día 1, 40 mg día 8",AR: Cada 15 días; Crohn/Psoriasis: 40 mg cada 15 días,80mg día,Subcutáneo,"Artritis reumatoide, Enfermedad de Crohn, Psoriasis, Espondilitis anquilosante","Infecciones (incl. TB, fúngicas), reacciones sitio, citopenias, autoinmunidad","Tuberculosis activa, infecciones graves, insuficiencia cardíaca moderada-grave, hipersensibilidad"
Adalimumab,Biológico Anti-TNF,Dosis carga y mantenimiento variable según indicación,SC cada semana o cada 2 semanas,80 mg SC cada 2 semanas,Subcutáneo,"Artritis Reumatoide, AIJ, AP, EA, Crohn, CU, Psoriasis, Uveítis, Hidradenitis supurativa","Infecciones, reacción sitio, cefalea, rash, reactivación TB, riesgo neoplasias/linfoma, IC","Hipersensibilidad, tuberculosis activa, infecciones graves, IC moderada/severa"
Adapaleno,Retinoide,Aplicar capa fina gel/crema/loción 0.1%-0.3%,Una vez al día,0.3% gel/crema/loción,Tópico,Acné vulgar,"Sequedad, eritema, descamación, ardor/picazón",Hipersensibilidad
Adefovir,Antiviral,10 mg,1 vez/día,10 mg/día,Oral,Hepatitis B crónica,"Nefrotoxicidad, acidosis láctica, exacerbación hepatitis post-tratamiento","Insuficiencia renal grave (no recomendado o ajustar), lactancia, no coadministrar con tenofovir"
Adenosina,Antiarrítmico,TSV: Inicial 6 mg bolo IV; 2ª/3ª dosis: 12 mg bolo IV; Diagnóstico: 140 mcg/kg/min IV infusión,Bolos IV rápidos sucesivos; Infusión IV continua,12 mg/dosis,IV,Taquicardia Supraventricular Paroxística; Diagnóstico diferencial taquicardias; Agente estrés farmacológico,"Rubor facial, disnea, dolor/opresión torácica, mareo, náuseas, asistolia/bradicardia transitoria","Hipersensibilidad, bloqueo AV 2º-3º grado, enfermedad nodo sinusal, broncoespasmo/asma severa"
Afatinib,Inhibidor Tirosina Quinasa,40 mg,Una vez al día en ayunas,50 mg/día,Oral,CPNM metastásico mutaciones EGFR/HER2; Cáncer escamoso avanzado cabeza/cuello,"Diarrea, rash/acné, estomatitis, paroniquia, disminución apetito, epistaxis, prurito, piel seca",Hipersensibilidad
Aflibercept,Inhibidor VEGF,2 mg,intravítrea mensual inicialmente,"luego cada 4-12 semanas""",2 mg,Intravítreo,"Degeneración Macular Húmeda, Edema Macular Diabético/OVR, Neovascularización Coroidea Miopica","Hemorragia conjuntival, dolor ocular, cataratas, aumento PIO, desprendimiento vítreo, endoftalmitis, riesgo eventos tromboembólicos arteriales"
Agalsidasa Beta,Reemplazo enzimático,1 mg/kg,Cada 2 semanas,1 mg/kg,IV,Enfermedad de Fabry,"Reacciones relacionadas con la infusión, escalofríos, fiebre, cefalea, náuseas",Hipersensibilidad potencialmente mortal
Agomelatina,Antidepresivo Melatoninérgico,25 mg,Una vez al día al acostarse,50 mg/día,Oral,Episodios Depresión Mayor adultos,"Cefalea, mareo, somnolencia, insomnio, náuseas, diarrea, fatiga, elevación transaminasas, hepatotoxicidad","Hipersensibilidad, I.H., uso concomitante inhibidores potentes CYP1A2"
Albendazol,Antihelmíntico,Ascaris/Oxiuros: 400 mg,Ascaris/Oxiuros: Dosis única; Anguilulosis/Tenia: 1 vez/día x 3 días; Triquinosis: 2 veces/día x 10-15 días,800 mg/día (según indicación),Oral,Infecciones parasitarias (helmintos intestinales y tisulares),"Dolor abdominal, cefalea, vértigo, elevación transaminasas, alopecia (raro), pancitopenia (raro)","Embarazo, hipersensibilidad, cisticercosis ocular"
Albúmina Humana,Expansor Volumen Plasmático,Dosis según condición clínica e indicación,Infusión IV según necesidad,Dosis según necesidad clínica,IV,"Hipovolemia, Hipoalbuminemia, Quemaduras graves, SDRA, Ascitis, Cirrosis, Síndrome nefrótico","Reacciones hipersensibilidad/infusión, sobrecarga volumen, edema pulmonar","Hipersensibilidad, IC severa, anemia severa"
Albuterol/Ipratropio,Agonista beta-2/Anticolinérgico,Salbutamol 100 mcg / Ipratropio 20 mcg por inhalación,Cada 6 horas,8 inhalaciones/día,Inhalación,Broncoespasmo asociado a EPOC,"Taquicardia, boca seca, temblor, nerviosismo, mareo","Hipersensibilidad a atropina/derivados, salbutamol, ipratropio"
Alcaftadina,Antihistamínico H1 Oftálmico,1 gota solución 0.25%,Una vez al día,1 gota/ojo/día,Oftálmico,Prurito asociado a conjuntivitis alérgica,"Irritación/ardor/picazón ocular, hiperemia, nasofaringitis, cefalea",Hipersensibilidad
Alclometasona Dipropionato,Corticosteroide tópico,Crema/Ungüento 0.05%,2-3 veces al día,0.05%,Tópico,Dermatosis que responden a corticosteroides,"Ardor, picazón, eritema, sequedad, foliculitis, atrofia cutánea","Hipersensibilidad, infecciones cutáneas primarias"
Aldesleuquina,Inmunoterapia,"600,000 UI/kg",Cada 8 horas según protocolo,"600,000 UI/kg/dosis",IV,"Carcinoma renal metastásico, Melanoma metastásico","Síndrome fuga capilar, hipotensión, fiebre, disnea, oliguria, confusión, rash, eosinofilia, toxicidad hepática/renal","Hipersensibilidad, disfunción orgánica grave preexistente"
Alemtuzumab,Anticuerpo Monoclonal Anti-CD52,"LLC: Titular hasta 30 mg 3x/sem; EM: 12 mg/día x 5d inicial, luego 12 mg/día x 3d a 12m",Según pauta LLC o EM,LLC: 30 mg/dosis; EM: 12 mg/día,"IV, Subcutáneo",Leucemia Linfocítica Crónica; Esclerosis Múltiple Remitente Recurrente,"Reacciones infusión, infecciones, linfopenia, neutropenia, anemia, trombocitopenia, trastornos autoinmunes, enfermedad tiroidea, PTI","Hipersensibilidad, infección VIH, infecciones activas graves, neoplasias malignas activas"
