name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
"Abacavir, sulfato (ABC)",Antirretroviral (INTR),"3 meses - 15 años: 16 mg/kg/día

>12 años: 300 mg",c/12 h,600 mg/día,VO (Oral),VIH / Terapia antirretroviral,"Emb: C

Lact: Precaución (B)","Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",Restringido (C),Precaución,Disminuir la dosis,No requiere ajuste
Abacavir / Lamivudina,Antirretroviral (INTR),>12 años (>40kg): 300 mg (ABC) / 300 mg (3TC),c/12 h,600 mg/día,VO (Oral),VIH / Terapia antirretroviral,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Abacavir / Lamivudina / Zidovudina,Antirretroviral (INTR),>12 años (>40kg): 1 tableta (300/150/300 mg),c/12 h,No especificado,VO (Oral),VIH / Terapia antirretroviral,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Abatacept,Inmunosupresor,"<60 kg: 500 mg

60-100 kg: 750 mg","Semanas 0, 2, 4, luego cada 4 semanas",No especificado,IV (Infusión 30 min),Enfermedades autoinmunes (Artritis),"Emb: C

Lact: Usar con reserva (B*)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Usar con reserva (B*) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Usar con reserva (Sin datos),No requiere ajuste,No requiere ajuste
Acarbosa,Hipoglicemiante oral,"<60 kg: 50 mg/dosis

>60 kg: 100 mg/dosis",Con las comidas,No especificado,VO (Oral),Diabetes (Inhibidor alfa-glucosidasa),"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Acebrofilina,Mucolítico,3 - 4 mg/kg/día,c/12 h,No especificado,VO (Oral),Limpieza de secreciones respiratorias,No especificado,No especificado,yes,No especificado | No especificado,,,,
Aceite mineral (Parafina líquida),"Laxante, lubricante",0.5 ml/kg/dosis,Aplicar tópicamente con masajes,No especificado,Tópico / VO,Estreñimiento / Hidratación piel,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Aceite de ricino (Oleum ricini),Laxante estimulante,1 - 5 ml (Dosis Única),Dosis Única,15 - 60 ml/día,VO (Oral),Estreñimiento (Inicio 2-6h),"Emb: X (Contraindicado)

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: X (Contraindicado)

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Contraindicado (X),Precaución,No requiere ajuste,No requiere ajuste
Acetaminofén o Paracetamol,Analgésico / Antipirético,"10 - 15 mg/kg/dosis

Neonatos: 10-15 mg/kg","c/4 - 6 h

Neonatos: c/6-8h","Max Diario:60 mg/kg/día

Max Dosis:4g/día",VO (Oral) / Rectal,Dolor / Fiebre,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",Aceptado (B),Seguro (Compatible),Disminuir la dosis,Intervalo entre dosis debe prolongarse
Acetaminofén / Cafeína,Analgésico potenciado,Adultos: 1 - 2 tabletas,c/6 - 8 h,No especificado,VO (Oral),Alivio del dolor (potenciado),"Emb: B

Lact: Precaución (B)","Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",Aceptado (B),Precaución,Disminuir la dosis,Intervalo entre dosis debe prolongarse
Acetaminofén / Cafeína / Fenilefrina,Analgésico / Antihistamínico / Descong.,Adultos: 1 - 2 tabletas,c/6 - 8 h,No especificado,VO (Oral),Síntomas de gripa / Resfriado,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Acetaminofén / Cetirizina / Fenilefrina,Analgésico / Antihistamínico / Descong.,"6-12 meses: 3-4 gotas/kg

2-6 años: 2.5 ml

6-12 años: 5 ml

>12 años: 10 ml",c/12 h,No especificado,VO (Oral),Síntomas de gripa / Resfriado,"Emb: B / C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Reducir (↓) o Evitar (X)",yes,"Emb: B / C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Reducir (↓) o Evitar (X)",Aceptado (B),Precaución,No requiere ajuste,Evitar su uso
Acetaminofén / Clorfeniramina,Analgésico / Antihistamínico,"<2 años: 3 gotas/kg

2-6 años: 5 ml

6-12 años: 10 ml",c/6 h,No especificado,VO (Oral),Síntomas de resfriado / Alergias,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Acetaminofén / Clorfeniramina / Fenilefrina,Analgésico / Antihistamínico / Vasoconst.,"2-4 años: 5 ml

4-6 años: 7.5 ml

>8 años: 10-15 ml (o 1 tab)",c/6 h,No especificado,VO (Oral),Síntomas de gripa / Resfriado,"Emb: B / C

Lact: Precaución (B)","Hígado: Prolongar Intervalo (I)

Riñón: Prolongar Intervalo (I)",yes,"Emb: B / C

Lact: Precaución (B) | Hígado: Prolongar Intervalo (I)

Riñón: Prolongar Intervalo (I)",Aceptado (B),Precaución,,Intervalo entre dosis debe prolongarse
"Acetaminofén / Codeína, fosfato",Analgésico potenciado,"0.5 - 1 mg (codeína)/kg/dosis

>10 años: 1 a 2 tabs",c/4 - 6 h,Max: 12 tabs/día,VO (Oral),Dolor moderado a severo,"Emb: B / D (Dosis altas)

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: B / D (Dosis altas)

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Aceptado (B),Precaución,No requiere ajuste,Evitar su uso
